Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"_abcoll.__contains__",1,0.00,0.00,0.15,0.05,"_abcoll.py",
"_compat.with_metaclass",1,0.00,0.00,0.11,0.05,"_compat.py",
".__new__",1,0.00,0.00,1.82,0.05,"__init__.py",
"ntpath.normcase",58,0.00,0.00,0.00,0.00,"ntpath.py",
"DefaultProvider._has",1,0.00,0.00,0.13,0.05,"__init__.py",
"sre_compile.fixup",334,0.00,0.00,0.00,0.00,"sre_compile.py",
"calendar._localized_month",1,0.00,0.00,0.07,0.05,"calendar.py",
".safe_name",8,0.00,0.00,0.03,0.01,"__init__.py",
"Distribution._get_metadata",4,0.00,0.00,0.14,0.01,"__init__.py",
"copyreg.pickle",3,0.00,0.00,0.02,0.02,"copyreg.py",
"weakref.__init__",1,0.00,0.00,0.05,0.05,"weakref.py",
"threading._Event.set",1,0.00,0.00,0.19,0.05,"threading.py",
"str.encode",488,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_weakrefset._IterationGuard.__exit__",7,0.00,0.00,0.01,0.01,"_weakrefset.py",
"str.replace",203,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_parse.fix_flags",54,0.00,0.00,0.00,0.00,"sre_parse.py",
"random.Random.__init__",1,0.00,0.00,0.08,0.05,"random.py",
"ResourceManager.resource_exists",1,0.00,0.00,0.33,0.05,"__init__.py",
".key",28,0.00,0.00,0.00,0.00,"__init__.py",
"datetime.__new__",4,0.00,0.00,0.03,0.01,"datetime.py",
"NullProvider.has_metadata",3,0.00,0.00,1.22,0.02,"__init__.py",
"calendar.Calendar.__init__",1,0.00,0.00,0.05,0.05,"calendar.py",
"ntpath.basename",4,0.00,0.00,0.04,0.01,"ntpath.py",
"os.__getitem__",1,0.00,0.00,0.09,0.05,"os.py",
"._call_aside",2,0.01,0.00,5.74,0.02,"__init__.py",
"threading._Event.__init__",1,0.00,0.00,0.10,0.05,"threading.py",
"zipfile._ZipDecrypter",1,0.00,0.00,0.57,0.05,"zipfile.py",
"threading.Condition",2,0.00,0.00,0.03,0.02,"threading.py",
"threading._Condition.notify_all",1,0.00,0.00,0.14,0.04,"threading.py",
"WorkingSet.subscribe",1,0.00,0.00,0.95,0.04,"__init__.py",
"threading.Event",1,0.00,0.00,0.15,0.04,"threading.py",
"_weakrefset.WeakSet.__init__",26,0.00,0.00,0.00,0.00,"_weakrefset.py",
"os.encodekey",1,0.00,0.00,0.05,0.04,"os.py",
"zipfile.ZipFile.__exit__",1,0.00,0.00,0.07,0.04,"zipfile.py",
"sre_parse.SubPattern.__setitem__",237,0.00,0.00,0.00,0.00,"sre_parse.py",
"._normalize_cached",44,0.00,0.00,0.01,0.00,"__init__.py",
"._build_master",1,0.01,0.00,7.84,0.04,"__init__.py",
"_struct.unpack",122,0.00,0.00,0.00,0.00,"_struct",
"sre_parse.Pattern.__init__",54,0.00,0.00,0.00,0.00,"sre_parse.py",
"sre_parse.isident",246,0.00,0.00,0.00,0.00,"sre_parse.py",
"collections.<genexpr>",195,0.00,0.00,0.00,0.00,"collections.py",
"sre_compile.isstring",108,0.00,0.00,0.00,0.00,"sre_compile.py",
"._find_adapter",16,0.00,0.00,0.00,0.00,"__init__.py",
"_io.BytesIO.read",480,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_sre.SRE_Pattern.search",6,0.00,0.00,0.01,0.01,"Unidentifiable Method",
".Environment",1,0.00,0.00,0.16,0.03,"__init__.py",
"chr",324,0.00,0.00,0.00,0.00,"builtins",
"WorkingSet.__init__",1,0.01,0.00,7.80,0.03,"__init__.py",
"sre_parse.Pattern.closegroup",118,0.00,0.00,0.00,0.00,"sre_parse.py",
"pickle._Unpickler",1,0.00,0.00,0.03,0.03,"pickle.py",
"._initialize",1,0.00,0.00,0.07,0.03,"__init__.py",
"ord",729,0.00,0.00,0.00,0.00,"builtins",
