Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller",".RequirementParseError","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".ResolutionError",".ResolutionError",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".ResolutionError","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".ResourceManager",".ResourceManager",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".ResourceManager","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".safe_name",".safe_name",8,0.00,0.00,0.03,0.01,"__init__.py",
"Caller",".safe_name","Distribution.__init__",8,0.00,0.00,0.03,0.01,"__init__.py",
"Callee",".safe_name","re.sub",8,0.00,0.00,0.03,0.00,"re.py",
"Root",".safe_version",".safe_version",6,0.00,0.00,0.16,0.01,"__init__.py",
"Caller",".safe_version","Distribution.__init__",6,0.00,0.00,0.16,0.01,"__init__.py",
"Callee",".safe_version","version.Version.__init__",6,0.00,0.00,0.13,0.10,"version.py",
"Callee",".safe_version","version.Version.__str__",6,0.00,0.00,0.02,0.00,"version.py",
"Root",".SetuptoolsLegacyVersion",".SetuptoolsLegacyVersion",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".SetuptoolsLegacyVersion","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".SetuptoolsVersion",".SetuptoolsVersion",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".SetuptoolsVersion","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".UnknownExtra",".UnknownExtra",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".UnknownExtra","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".VersionConflict",".VersionConflict",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".VersionConflict","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".WorkingSet",".WorkingSet",1,0.00,0.00,0.01,0.01,"__init__.py",
"Caller",".WorkingSet","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root",".zipinfo",".zipinfo",4,0.00,0.00,0.81,0.01,"__init__.py",
"Caller",".zipinfo","ZipProvider._has",3,0.00,0.00,1.05,0.01,"__init__.py",
"Caller",".zipinfo","ZipProvider._index",1,0.00,0.00,0.12,0.00,"__init__.py",
"Callee",".zipinfo","MemoizedZipManifests.load",4,0.00,0.00,0.81,0.13,"__init__.py",
"Root",".ZipManifests",".ZipManifests",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".ZipManifests","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".ZipProvider",".ZipProvider",1,0.00,0.00,0.01,0.01,"__init__.py",
"Caller",".ZipProvider","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root","__about__ (module)","__about__ (module)",1,0.00,0.00,0.01,0.01,"__about__.py",
"Caller","__about__ (module)"," (module)",1,0.00,0.00,0.01,0.01,"__init__.py",
"Root","__build_class__","__build_class__",233,0.04,0.02,0.23,0.10,"builtins",
"Caller","__build_class__"," (module)",32,0.01,0.00,0.30,0.04,"__init__.py",
"Caller","__build_class__","__future__ (module)",1,0.00,0.00,0.08,0.07,"__future__.py",
"Caller","__build_class__","_compat.with_metaclass",1,0.00,0.00,0.04,0.04,"_compat.py",
"Caller","__build_class__","_structures (module)",2,0.00,0.00,0.05,0.05,"_structures.py",
"Caller","__build_class__","<string> (module)",1,0.00,0.00,0.33,0.32,"(string)",
"Caller","__build_class__","<string> (module)",1,0.00,0.00,0.35,0.34,"(string)",
"Caller","__build_class__","<string> (module)",1,0.00,0.00,0.37,0.36,"(string)",
"Caller","__build_class__","<string> (module)",1,0.00,0.00,0.37,0.36,"(string)",
"Caller","__build_class__","<string> (module)",1,0.00,0.00,0.00,0.38,"(string)",
"Caller","__build_class__","calendar (module)",10,0.00,0.00,0.08,0.07,"calendar.py",
"Caller","__build_class__","copy (module)",2,0.00,0.00,0.08,0.08,"copy.py",
"Caller","__build_class__","datetime (module)",6,0.00,0.00,0.11,0.07,"datetime.py",
"Caller","__build_class__","email._parseaddr (module)",2,0.00,0.00,0.13,0.13,"_parseaddr.py",
"Caller","__build_class__","email.charset (module)",1,0.00,0.00,0.13,0.13,"charset.py",
"Caller","__build_class__","email.errors (module)",13,0.00,0.00,0.11,0.11,"errors.py",
"Caller","__build_class__","email.feedparser (module)",3,0.00,0.00,0.14,0.13,"feedparser.py",
"Caller","__build_class__","email.header (module)",3,0.00,0.00,0.13,0.13,"header.py",
"Caller","__build_class__","email.message (module)",1,0.00,0.00,0.91,0.23,"message.py",
"Caller","__build_class__","email.parser (module)",3,0.00,0.00,0.11,0.11,"parser.py",
"Caller","__build_class__","email.quoprimime (module)",1,0.00,0.00,0.14,0.13,"quoprimime.py",
"Caller","__build_class__","multiprocessing (module)",4,0.00,0.00,0.12,0.12,"__init__.py",
"Caller","__build_class__","multiprocessing.process (module)",3,0.00,0.00,0.13,0.12,"process.py",
"Caller","__build_class__","multiprocessing.util (module)",3,0.00,0.00,0.12,0.12,"util.py",
"Caller","__build_class__","pickle (module)",6,0.00,0.00,0.08,0.08,"pickle.py",
"Caller","__build_class__","pkgutil (module)",2,0.00,0.00,0.08,0.08,"pkgutil.py",
"Caller","__build_class__","platform (module)",1,0.00,0.00,0.09,0.09,"platform.py",
"Caller","__build_class__","plistlib (module)",7,0.00,0.00,0.07,0.07,"plistlib.py",
"Caller","__build_class__","pygame (module)",1,0.00,0.00,0.13,0.13,"__init__.py",
"Caller","__build_class__","pygame.sprite (module)",11,0.00,0.00,0.13,0.12,"sprite.py",
"Caller","__build_class__","pygame.threads (module)",2,0.00,0.00,0.17,0.17,"__init__.py",
"Caller","__build_class__","queue (module)",5,0.00,0.00,0.07,0.07,"queue.py",
"Caller","__build_class__","racing-game-fixed (module)",14,0.00,0.00,0.25,0.25,"racing-game-fixed.py",
"Caller","__build_class__","random (module)",2,0.00,0.00,0.09,0.08,"random.py",
"Caller","__build_class__","shutil (module)",5,0.00,0.00,0.07,0.07,"shutil.py",
"Caller","__build_class__","socket (module)",2,0.00,0.00,0.12,0.08,"socket.py",
"Caller","__build_class__","specifiers (module)",6,0.01,0.00,2.03,0.04,"specifiers.py",
"Caller","__build_class__","string (module)",4,0.00,0.00,0.75,0.09,"string.py",
"Caller","__build_class__","subprocess (module)",4,0.00,0.00,0.13,0.12,"subprocess.py",
"Caller","__build_class__","tarfile (module)",20,0.00,0.00,0.08,0.08,"tarfile.py",
"Caller","__build_class__","tempfile (module)",4,0.00,0.00,0.11,0.10,"tempfile.py",
"Caller","__build_class__","textwrap (module)",1,0.00,0.00,0.84,0.09,"textwrap.py",
"Caller","__build_class__","threading (module)",12,0.00,0.00,0.08,0.07,"threading.py",
"Caller","__build_class__","types (module)",1,0.00,0.00,0.07,0.07,"types.py",
"Caller","__build_class__","urllib.parse (module)",12,0.00,0.00,0.13,0.12,"parse.py",
"Caller","__build_class__","uu (module)",1,0.00,0.00,0.08,0.08,"uu.py",
"Caller","__build_class__","version (module)",4,0.00,0.00,0.81,0.05,"version.py",
"Caller","__build_class__","warnings (module)",3,0.00,0.00,0.08,0.08,"warnings.py",
"Caller","__build_class__","zipfile (module)",7,0.00,0.00,0.24,0.08,"zipfile.py",
"Callee","__build_class__","._SetuptoolsVersionMixin",1,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","__build_class__",".ContextualVersionConflict",1,0.00,0.00,0.00,0.00,"__init__.py",
